project_url,intuitive_score,maven_used_by
https://github.com/google/guava,10,29594
https://github.com/hierynomus/smbj,5,19
https://github.com/projectlombok/lombok,8,14281
https://github.com/spring-projects/spring-shell,7,371
https://github.com/jboner/aspectwerkz,1,4
https://github.com/jetlang/remoting,3,0
https://github.com/proofpoint/platform,5,45
https://github.com/mozilla/rhino,7,589
https://github.com/maguro/lua4j,1,4
https://github.com/AppFormer/uberfire,0,149
https://github.com/jboss-switchyard/core,1,139
https://github.com/dakrone/cheshire,6,1740
https://github.com/marick/Midje,7,1265
https://github.com/j256/ormlite-android,7,95
